,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
67,TCS,EQ,18-Aug-17,2485.65,2474.0,2549.9,2471.4,2515.0,2513.8,2520.86,1418678,3576281722.0,77980,837580,59.04,8,2017,2484.0741605006624,0.011325005531752197,Slight positive
68,TCS,EQ,21-Aug-17,2513.8,2505.5,2549.0,2494.3,2513.2,2528.8,2534.62,1152417,2920941548.0,54265,747946,64.9,8,2017,2484.7523006937636,0.0059670618187603885,Slight positive
69,TCS,EQ,22-Aug-17,2528.8,2523.0,2539.5,2492.0,2500.0,2497.55,2516.08,565663,1423251638.0,35029,287383,50.8,8,2017,2484.8468418276216,-0.012357639987345737,Slight positive
70,TCS,EQ,23-Aug-17,2497.55,2505.0,2516.8,2473.15,2491.6,2489.45,2487.52,781136,1943093967.0,39129,512785,65.65,8,2017,2484.8933260679764,-0.0032431783147486293,Slight positive
71,TCS,EQ,24-Aug-17,2489.45,2497.7,2517.95,2486.15,2498.05,2496.6,2495.82,811954,2026487436.0,42614,596982,73.52,8,2017,2485.0149315673584,0.0028721203478681012,Slight positive
72,TCS,EQ,28-Aug-17,2496.6,2504.6,2505.4,2461.0,2491.0,2487.3,2479.76,1018398,2525378755.0,54931,696983,68.44,8,2017,2485.0443204588996,-0.003725066089882101,Slight positive
73,TCS,EQ,29-Aug-17,2487.3,2482.0,2496.0,2463.95,2475.05,2470.85,2472.97,656301,1623010551.0,23498,432172,65.85,8,2017,2484.927639666891,-0.006613597073131583,Slight positive
74,TCS,EQ,30-Aug-17,2470.85,2481.0,2490.0,2460.1,2485.0,2484.55,2478.46,485391,1203020937.0,24262,240993,49.65,8,2017,2484.925357650873,0.005544650626302827,Slight positive
75,TCS,EQ,31-Aug-17,2484.55,2485.0,2504.4,2466.65,2498.0,2496.35,2489.91,892332,2221830191.0,47192,591710,66.31,8,2017,2485.05087982656,0.004749350989112555,Slight positive
76,TCS,EQ,1-Sep-17,2496.35,2480.0,2498.05,2436.55,2460.6,2456.45,2452.84,851165,2087770465.0,40185,447974,52.63,9,2017,2484.754248669577,-0.01598333567007837,Slight positive
77,TCS,EQ,4-Sep-17,2456.45,2453.1,2461.0,2438.0,2457.0,2456.2,2452.06,531272,1302711214.0,29763,314907,59.27,9,2017,2484.570591060256,-0.00010177288363288906,Slight positive
78,TCS,EQ,5-Sep-17,2456.2,2460.0,2490.0,2437.05,2484.65,2484.35,2463.13,582997,1435996999.0,27861,390654,67.01,9,2017,2484.569045019407,0.01146079309502479,Slight positive
79,TCS,EQ,6-Sep-17,2484.35,2468.15,2474.85,2450.0,2453.0,2453.2,2454.77,614382,1508166252.0,37430,428731,69.78,9,2017,2484.3390541281065,-0.01253849095336812,Slight positive
80,TCS,EQ,7-Sep-17,2453.2,2458.0,2468.4,2451.05,2460.0,2460.1,2458.6,435318,1070273155.0,35496,314028,72.14,9,2017,2484.2137853413683,0.002812652861568621,Slight positive
81,TCS,EQ,8-Sep-17,2460.1,2453.75,2474.0,2452.55,2465.15,2470.6,2466.13,510567,1259126114.0,26980,354180,69.37,9,2017,2484.1317638374085,0.004268119182146979,Slight positive
82,TCS,EQ,11-Sep-17,2470.6,2471.2,2482.95,2450.0,2455.0,2454.45,2463.39,366382,902539941.4,17519,260179,71.01,9,2017,2484.003988710553,-0.00653687363393507,Slight positive
